Factor ID,Factor Name,Original Research Source,Research Evidence Level,Domain,Definition,Potential Decision Layer,Required Data,Data Availability,Current Repository Representation,Current Status,Notes
F011,Bhandup Complex WTP Filtration Throughput,MCGM Hydraulic Engineering Department Records,A,H. TREATMENT,"Physical potable water filtration throughput limit (2,810 MLD capacity)",RESOURCE_OPTIMIZATION,Daily WTP throughput log (MLD),AVAILABLE_OFFICIAL,"water_engine/supply_model.py, SUP_TREAT_CAP",IMPLEMENTED,Hard upper bound bottleneck on potable municipal water
F012,Panjrapur WTP Filtration Throughput,MCGM Hydraulic Engineering Department Records,A,H. TREATMENT,"Physical throughput limit for Eastern suburbs (1,365 MLD capacity)",RESOURCE_OPTIMIZATION,Plant flow meter readings,AVAILABLE_OFFICIAL,"water_engine/supply_model.py, SUP_TREAT_CAP",IMPLEMENTED,Hard upper bound bottleneck on potable water
F013,Raw Water Intake Turbidity Shock,MCGM Water Quality Laboratory Bhandup,A,G. WATER QUALITY / H. TREATMENT,Raw water turbidity > 100 NTU during flash monsoons forcing filter derating,SCENARIO_CONTEXT,Turbidity sensor readings (NTU),AVAILABLE_OFFICIAL,evaluation/stress_tests.py (Scenario 11),SCENARIO_ONLY,Tested in Scenario 11 as physical 15-30% backwash derating
F014,WTP Filter Backwash Loss Fraction,CPHEEO Manual on Water Supply and Treatment,B,H. TREATMENT,Percentage of treated water consumed in cleaning rapid gravity sand filters (2-4%),SUPPLY_FORECAST,Backwash volumetric meters,AVAILABLE_OFFICIAL,water_engine/supply_model.py,PARTIALLY_IMPLEMENTED,Modeled as 3.5% treatment loss deduction in supply balance formula
F015,Water Treatment Coagulant Chemical Stock,BMC Central Stores Department Inventory Log,A,H. TREATMENT,Days of polyaluminium chloride (PAC) and alum coagulant reserves on-site,RESOURCE_OPTIMIZATION,Chemical inventory records,AVAILABLE_OFFICIAL,docs/model_cards/01_supply_forecast.md,DOCUMENTED_ONLY,Supply chain buffer parameter
F016,Chlorination Gas Plant Dosing Active Rate,BIS IS 10500:2012 / MCGM Water Quality Laboratory,A,G. WATER QUALITY,Chlorine dosing rate to ensure 0.2-0.5 mg/L free residual chlorine at user end,WATER_QUALITY,Chlorine dosing mass flow meters,AVAILABLE_OFFICIAL,"water_engine/water_reuse.py, GOV_CHLOR_RESID",IMPLEMENTED,Mandatory potability certification gate
F017,WTP Sludge Cake Dewatering Output,Maharashtra Pollution Control Board (MPCB) Guidelines,B,H. TREATMENT / AE. ENVIRONMENTAL,Daily sludge dewatering mass output requiring environmental landfilling,SCENARIO_CONTEXT,Weighbridge logs,AVAILABLE_OFFICIAL,docs/factor_catalogue.md,CONTEXT_ONLY,Environmental compliance indicator outside water allocation
F018,WTP Design Hydraulic Peak Capacity,MCGM Bhandup Complex Master Plan,A,H. TREATMENT,Theoretical maximum hydraulic design flow without backwash derating,RESOURCE_OPTIMIZATION,Engineering design spec,AVAILABLE_OFFICIAL,Merged into F011/F012,DUPLICATE_OR_MERGED,Merged into operational throughput limits F011/F012
F019,Trunk Main SCADA Flow Telemetry Rate,MCGM Hydraulic Engineer SCADA Network,A,I. TRANSMISSION,Real-time volumetric flow in Vaitarna and Tansa steel transmission mains,EMERGENCY_PREDICTION,Ultrasonic pipe flow meters,AVAILABLE_OFFICIAL,complaint_engine/features.py,PARTIALLY_IMPLEMENTED,Used as flow drop feature in burst prediction
F020,Trunk Transmission Pipeline Structural Rupture,BMC Disaster Management Outage Reports,A,W. EMERGENCY / I. TRANSMISSION,Catastrophic burst of primary 2500mm-3000mm trunk main causing regional cut,EMERGENCY_PREDICTION,Burst event incident logs,AVAILABLE_OFFICIAL,evaluation/stress_tests.py (Scenario 07),SCENARIO_ONLY,Tested in 14-scenario stress framework
F021,Master Balancing Reservoir (MBR) Usable Level,"MCGM Operations Log (Ghatkopar, Powai, Malabar Hill MBRs)",A,F. STORAGE,Hydrostatic head level at master elevated distribution reservoirs,SUPPLY_FORECAST,Reservoir depth sensors,AVAILABLE_OFFICIAL,water_engine/supply_model.py,PARTIALLY_IMPLEMENTED,Provides head pressure prior for secondary zone dispatch
F022,Pumping Station Grid Power Outage Deficit,MSETCL / Adani Electricity Log,B,AA. ENERGY,Duration and MW power deficit at high-lift transmission pumping stations,SCENARIO_CONTEXT,Substation outage logs,AVAILABLE_OFFICIAL,"data/reference/factor_catalog.csv, SUP_OUTAGE_MW",SCENARIO_ONLY,Simulated in Stress Scenario 06 as regional pressure loss
F023,Standby Diesel Generator Fuel Run Hours,BMC Pumping Station Maintenance SOP,B,AA. ENERGY,Hours of backup fuel available on-site for diesel generators,RESOURCE_OPTIMIZATION,Fuel tank dipstick logs,AVAILABLE_OFFICIAL,docs/factor_catalog.md,DOCUMENTED_ONLY,Failsafe reserve parameter
F024,Transmission Hydraulic Friction Head Loss,Hazen-Williams Hydraulic Modeling of Mumbai Aqueducts,B,I. TRANSMISSION,Dynamic friction head dissipation across 100km trunk conduits,INFRASTRUCTURE,Multi-point differential pressure gauges,UNAVAILABLE_LOCAL,docs/research_evidence.md,UNAVAILABLE_DATA,Full hydraulic dynamic modeling requires EPA-NET SCADA integration
F025,Underground Tunnel Conveyance Structural Integrity,MCGM Water Tunnel Project Phase 2 & 3 Reports,A,I. TRANSMISSION,Structural integrity status of deep rock water transmission tunnels,SCENARIO_CONTEXT,Acoustic / seismic inspection reports,AVAILABLE_OFFICIAL,docs/research_evidence.md,CONTEXT_ONLY,Longitudinal asset health monitoring
F026,Pumping Station Booster Pump Operational Count,BMC Hydraulic Engineer Pumping Registry,A,AA. ENERGY / INFRASTRUCTURE,Number of pumps actively spinning at master transfer stations,INFRASTRUCTURE,SCADA pump run telemetry,AVAILABLE_OFFICIAL,docs/factor_catalogue.md,DOCUMENTED_ONLY,Operational capacity constraint
F027,Raw Transmission Conveyance Sump Losses,Castalia WDIP NRW Audit,B,L. LEAKAGE / NRW,Transmission loss between lake dam and WTP intake,SUPPLY_FORECAST,Conveyance differential metering,AVAILABLE_OFFICIAL,Merged into F035,DUPLICATE_OR_MERGED,Merged with citywide Non-Revenue Water factor F035
F028,Hydrostatic Distribution Line Pressure,MCGM DMA Pressure Management Cell,A,K. PRESSURE,Physical tap/secondary line pressure in bars during supply window,COMPLAINT_INTELLIGENCE,IoT line pressure logger (bar),AVAILABLE_OFFICIAL,"complaint_engine/features.py, evaluation/complaint_validation.py",IMPLEMENTED,Direct physical predictor of localized dry-pipe events (< 0.5 bar)
F029,Tail-End Dead-End Elevation Deficit,MCGM Water Distribution Master Plan / GIS,B,K. PRESSURE / INFRASTRUCTURE,Topological indicator of cluster location at dead-end or high elevation,NEED/EQUITY,GIS digital elevation model (DEM) and pipe topology,AVAILABLE_OFFICIAL,"water_engine/equity_engine.py, INF_PRES_ZONE",IMPLEMENTED,Structural equity weight elevating priority of chronically starved nodes
F030,Intermittent Piped Rationing Hours Timetable,MCGM Official Ward Water Timetables (2-4 hours/day),A,J. DISTRIBUTION NETWORK,Scheduled hours per day that municipal delivery valves are open in a ward,NEED/EQUITY,Ward valve schedule tables,AVAILABLE_OFFICIAL,water_engine/service_deficit.py,IMPLEMENTED,Used in service deficit calculation
F031,Secondary Distribution Main Pipe Age,MCGM GIS Asset Database,B,J. DISTRIBUTION NETWORK / INFRASTRUCTURE,Age in years of secondary cast iron or mild steel water pipes,COMPLAINT_INTELLIGENCE,Asset commissioning date,AVAILABLE_OFFICIAL,"evaluation/complaint_validation.py, INF_PIPE_AGE",IMPLEMENTED,Key feature in burst prediction and contamination risk
F032,Distribution Pipe Material Class,MCGM Hydraulic Engineer Materials Spec,B,INFRASTRUCTURE,Material classification: Unlined Cast Iron vs Ductile Iron vs Mild Steel,INFRASTRUCTURE,GIS attribute,AVAILABLE_OFFICIAL,docs/factor_catalog.md,DOCUMENTED_ONLY,Affects corrosion vulnerability
F033,Soil Saline Intrusion Pipe External Corrosion Rate,Central Electrochemical Research Institute (CECRI) Coastal Corrosion Study,B,INFRASTRUCTURE,"External electrochemical wall loss in coastal saline soils (Wards A, B, C)",INFRASTRUCTURE,Soil resistivity and chloride measurements,UNAVAILABLE_LOCAL,docs/research_evidence.md,UNAVAILABLE_DATA,No citywide GIS soil chemical survey available
F034,Sluice Valve Manual Throttling Position,MCGM Ward Water Keyman Operations Log,A,X. GOVERNANCE,Manual valve turn count (quarter/half/full throttle) controlling pressure,INFRASTRUCTURE,Keyman daily shift register,AVAILABLE_OFFICIAL,complaint_engine/features.py,PARTIALLY_IMPLEMENTED,Modeled via valve status flag; manual paper logs not digitized citywide
F035,Non-Revenue Water (NRW) Physical Losses,Castalia Strategic Advisors / World Bank NRW Study for MCGM,B,L. LEAKAGE / NRW,Estimated 25-35% loss of piped water due to leakage and unmetered taps,SUPPLY_FORECAST,Ward water audit reports,AVAILABLE_OFFICIAL,"water_engine/supply_model.py, SUP_NRW_LOSS",IMPLEMENTED,Deductive loss parameter in net supply computation
F036,Underground Cross-Contamination Suction Risk,NEERI (National Environmental Engineering Research Institute) Mumbai Study,B,G. WATER QUALITY / W. EMERGENCY,Risk of sewage ingress through leaks when intermittent pipe pressure is zero,SCENARIO_CONTEXT,Stormwater drain co-location proximity,AVAILABLE_OFFICIAL,evaluation/stress_tests.py (Scenario 09),SCENARIO_ONLY,Triggers emergency contamination response in stress suite
F037,Pipe Internal Tuberculation Roughness Index,CPHEEO Hydraulic Pipeline Guidelines,B,INFRASTRUCTURE,Reduction in effective cross-sectional pipe diameter from lime/rust encrustation,INFRASTRUCTURE,Pipe coupon destructive testing samples,UNAVAILABLE_LOCAL,docs/factor_catalog.md,UNAVAILABLE_DATA,Requires physical excavation; not available for live dispatch
F038,Piped Service Supply Frequency,MCGM Ward Timetables,A,J. DISTRIBUTION NETWORK,Frequency of supply (alternate days vs daily),NEED/EQUITY,Ward timetable,AVAILABLE_OFFICIAL,Merged into F030,DUPLICATE_OR_MERGED,Merged with F030 (Rationing Hours Timetable) which directly encapsulates supply duration and frequency
F039,Ward Census 2011 Enumerated Population,Office of the Registrar General & Census Commissioner of India,A,M. POPULATION,Official enumerated resident population across 24 BMC administrative wards,DEMAND_FORECAST,Census Primary Census Abstract (PCA),AVAILABLE_OFFICIAL,"data/reference/bmc/ward_population_real.csv, DEM_POP_TOTAL",IMPLEMENTED,Statutory baseline population denominator
F040,Projected Ward Resident Population (2026),MCGM Development Plan 2034 Population Projections,B,M. POPULATION,Statistically projected resident population adjusting for suburban growth,DEMAND_FORECAST,DP 2034 demographic tables,AVAILABLE_OFFICIAL,docs/factor_catalogue.md,DOCUMENTED_ONLY,Maintained in documentation; production uses Census 2011 real reference baseline
F041,Ward Total Household Count,Census of India 2011,A,O. HOUSEHOLDS,Total enumerated occupied residential households,DEMAND_FORECAST,Census household tables,AVAILABLE_OFFICIAL,Merged into F039,DUPLICATE_OR_MERGED,Merged with F039 (Population) with Pearson r = 0.982; avoids double-counting
F042,Average Household Size,Census of India 2011,A,O. HOUSEHOLDS,Mean persons per household (Mumbai avg: 4.8),DEMAND_FORECAST,Pop / Households,AVAILABLE_OFFICIAL,Merged into F039,DUPLICATE_OR_MERGED,Redundant linear combination of population and household count
F043,Gross Ward Population Density,MCGM Ward Profiles / Census 2011,A,M. POPULATION,"Persons per square kilometer (ranging from 5,000 to > 65,000 in C Ward)",SCENARIO_CONTEXT,Pop / Ward Area (km2),AVAILABLE_OFFICIAL,docs/factor_catalog.md,CONTEXT_ONLY,Monitored for spatial compactness and logistics feasibility
F044,Ward Floating Commuter Day Population,Mumbai Metropolitan Region Development Authority (MMRDA) CTS Study,B,M. POPULATION,"Daily influx of 2-3 million workers into commercial hubs (Ward A, G/S, H/E)",DEMAND_FORECAST,Comprehensive Transportation Study commuter matrix,UNAVAILABLE_LOCAL,docs/final_limitations.md,UNAVAILABLE_DATA,Decadal survey data; uninstrumented on daily operational timescale
F045,Child and Elderly Demographic Dependency Share,Census of India 2011 Age Cohort Tables,A,N. DEMOGRAPHICS,Percentage of ward population < 5 years and > 65 years,SCENARIO_CONTEXT,Census age tables,AVAILABLE_OFFICIAL,data/factor_selection.csv,CONTEXT_ONLY,Monitored for equity audits; excluded from direct allocation formula
F046,Caste Identity of Household Head,Socio-Economic & Caste Census (SECC),A,N. DEMOGRAPHICS,Caste status of applicant / neighborhood,FAIRNESS_AUDIT,Protected survey attribute,AVAILABLE_OFFICIAL,docs/decision_architecture.md,REJECTED_WITH_REASON,REJECTED: Protected-attribute concern / Violates Constitution Article 15 and 21
F047,Religious Community Identity,Census of India Religion Tables,A,N. DEMOGRAPHICS,Religious demographic breakdown of neighborhood,FAIRNESS_AUDIT,Protected survey attribute,AVAILABLE_OFFICIAL,docs/decision_architecture.md,REJECTED_WITH_REASON,REJECTED: Unconstitutional discrimination risk / Strictly prohibited from allocation engine
F048,Linguistic Mother Tongue Identity,Census of India Language Tables,A,N. DEMOGRAPHICS,Primary spoken language of community,FAIRNESS_AUDIT,Protected survey attribute,AVAILABLE_OFFICIAL,docs/decision_architecture.md,REJECTED_WITH_REASON,REJECTED: Outside WaterFlow scope / Zero relevance to physical water distribution
F049,Ward Slum Population Proportion,MCGM Development Plan 2034 & Slum Sanitation Program,A,Q. INFORMAL SETTLEMENTS,Percentage of ward population residing in slum settlements without individual taps,NEED/EQUITY,Official ward slum census %,AVAILABLE_OFFICIAL,"water_engine/equity_engine.py, DEM_SLUM_RATIO",IMPLEMENTED,Primary structural vulnerability prior (0.25 weight in canonical policy)
F050,Non-Notified Slum Land Tenure Legality,Slum Rehabilitation Authority (SRA) / Bombay High Court Ruling 2014,A,Q. INFORMAL SETTLEMENTS,Tenure classification (notified vs post-cutoff non-notified),FAIRNESS_AUDIT,SRA GIS boundary layer,AVAILABLE_OFFICIAL,docs/research_evidence.md,DOCUMENTED_ONLY,"Per High Court mandate, water cannot be denied based on land tenure"
F051,Distance to Public Standpost / Community Tap,Tata Institute of Social Sciences (TISS) Mumbai Water Access Survey,B,Q. INFORMAL SETTLEMENTS,Physical walking distance (meters) from slum home to functional municipal standpost,FAIRNESS_AUDIT,Settlement survey distance,AVAILABLE_OFFICIAL,"data/reference/factor_catalog.csv, SOC_FETCH_DIST",IMPLEMENTED,Audited in post-allocation fairness disparity tests
F052,Standpost Queue Waiting Duration,YUVA / TISS Field Access Studies,B,Q. INFORMAL SETTLEMENTS,Hours spent standing in line at community standposts (often 1-3 hours/day),NEED/EQUITY,Time-use survey telemetry,UNAVAILABLE_LOCAL,docs/factor_catalog.md,UNAVAILABLE_DATA,Requires live computer vision or IoT crowd sensing on public taps
F053,Water-Fetching Female Gender Burden Share,UNICEF / TISS Gender & Water Security Study,B,P. SOCIOECONOMIC CONDITIONS,Proportion of household water fetching performed by women and adolescent girls,SCENARIO_CONTEXT,Gender-disaggregated time survey,AVAILABLE_OFFICIAL,docs/factor_catalog.md,CONTEXT_ONLY,Monitored as social impact context
F054,Intra-Ward Highrise vs Slum LPCD Disparity Ratio,MCGM Human Development Report / YUVA Water Audit,B,P. SOCIOECONOMIC CONDITIONS / FAIRNESS_AUDIT,Ratio of affluent per-capita supply (>200 LPCD) to slum supply (<50 LPCD),FAIRNESS_AUDIT,Ward micro-consumption audit,AVAILABLE_OFFICIAL,"evaluation/disparity_testing.py, SOC_HIST_INTRADIST",IMPLEMENTED,Evaluated in fairness disparity metrics
F055,Household Overhead/Underground Storage Absence,National Family Health Survey (NFHS-5) Maharashtra,A,O. HOUSEHOLDS / Q. INFORMAL SETTLEMENTS,Lack of permanent built-in storage tanks forcing daily drum storage,NEED/EQUITY,NFHS housing characteristics,AVAILABLE_OFFICIAL,water_engine/storage_aware.py,PARTIALLY_IMPLEMENTED,Proxied via slum population share and storage-aware capacity clamping
F056,Informal Settlement Alley Width (< 3m Navigability),BMC SWM Ward Road Width Maps,B,Z. TRANSPORT,"Passage width preventing standard 10,000L heavy tankers from entering",ROUTING,GIS street centerline width,AVAILABLE_OFFICIAL,docs/model_cards/07_routing_optimizer.md,DOCUMENTED_ONLY,"Requires dispatching 3,000L mini-tankers or overland hose reels"
F057,Informal Water Mafia Resale Spot Price,YUVA Economic Survey of Slum Water Markets,B,AB. ECONOMICS,Black market price per 200L can charged to slum dwellers during shortages,SCENARIO_CONTEXT,Field crowdsourced tariff reports,AVAILABLE_OFFICIAL,docs/factor_catalogue.md,CONTEXT_ONLY,Economic exploitation warning flag
F058,Informal Settlement Footprint Housing Density,SRA Mumbai Remote Sensing Survey,B,Q. INFORMAL SETTLEMENTS,Shanties per hectare in designated slum clusters,DEMAND_FORECAST,High-res satellite GIS,AVAILABLE_OFFICIAL,Merged into F049,DUPLICATE_OR_MERGED,Merged into F049 (Slum Population Share)
F059,Slum Cluster Elevation Relative to Sub-Zone Reservoir,MCGM GIS DEM,B,K. PRESSURE,Height in meters above distribution header,NEED/EQUITY,Topographic contours,AVAILABLE_OFFICIAL,Merged into F029,DUPLICATE_OR_MERGED,Merged with F029 (Tail-End Dead-End Elevation Deficit)
F060,Statutory Basic Domestic Lifeline Standard (135 LPCD),"MoHUA Service Level Benchmarks, Govt of India",A,T. WATER DEMAND,135 Liters Per Capita per Day standard for cities with underground sewerage,DEMAND_FORECAST,Statutory benchmark constant,AVAILABLE_OFFICIAL,"data/reference/factor_catalog.csv, DEM_LIFELINE_NORM",IMPLEMENTED,Normative benchmark for minimum human right to water
F061,Unfulfilled Emergency Water Demand (Liters),MCGM Ward Demand Requisitions / WaterFlow Engine,A,T. WATER DEMAND,Verified net unmet water requirement in Liters for a ward or cluster,ALLOCATION,Citizen requisitions / Outage calculation,AVAILABLE_OFFICIAL,"water_engine/equity_engine.py, unmet_demand_liters",IMPLEMENTED,Core target variable and upper bound constraint in allocation
F062,Consecutive Days Elapsed Without Reliable Supply,MCGM SCADA Pressure Logs / Citizen Corroborated Reports,C,U. HISTORICAL SERVICE,Consecutive calendar days where piped tap pressure failed to meet 0.5 bar,NEED/EQUITY,Outage tracking days,SIMULATED_BENCHMARK,"water_engine/service_deficit.py, DEM_DAYS_NO_SUP",IMPLEMENTED,Exponential priority escalation driver
F063,Historical Ward Service Deficit Index,MCGM 30-Day Historical Water Supply Ledger,B,U. HISTORICAL SERVICE,Rolling cumulative water supply deficit ratio over previous 30 days,NEED/EQUITY,Historical delivery logs,AVAILABLE_OFFICIAL,"water_engine/equity_engine.py, historical_deficit",IMPLEMENTED,Canonical policy weight 0.20
F064,Recent Supply Reliability Deficit,MCGM 7-Day Valve Telemetry,B,U. HISTORICAL SERVICE,Variance and interruption frequency in supply window over past 7 days,NEED/EQUITY,Valve log variance,AVAILABLE_OFFICIAL,"water_engine/equity_engine.py, reliability_deficit",IMPLEMENTED,Canonical policy weight 0.10
F065,Commercial Bulk Water Consumption,"MCGM Metered Commercial Billing (Hotels, Malls, Offices)",A,T. WATER DEMAND,Metered commercial non-domestic consumption volume,SCENARIO_CONTEXT,Metered commercial accounts,AVAILABLE_OFFICIAL,docs/factor_catalogue.md,CONTEXT_ONLY,Subject to tariff penalties during drought
F066,Industrial Manufacturing Quota Allocation,MIDC / MCGM Industrial Supply Contracts,A,AD. COMPETITION,Contractual allocation to manufacturing plants in industrial zones,SCENARIO_CONTEXT,MIDC contract registry,AVAILABLE_OFFICIAL,evaluation/stress_tests.py (Scenario 02),SCENARIO_ONLY,Curtailable in severe crisis scenarios to protect domestic lifeline
F067,Cultural Festival Mass Gathering Demand Surge,"BMC Public Health & Festive Management Cell (Ganesh Chaturthi, etc.)",A,T. WATER DEMAND,Transient 20-40% demand surge during major public religious festivals,SCENARIO_CONTEXT,Festive calendar event triggers,AVAILABLE_OFFICIAL,evaluation/stress_tests.py (Scenario 14),SCENARIO_ONLY,Tested in Scenario 14 stress test
F068,Seasonal Baseline Demand Index,MCGM Annual Consumption Time Series,B,T. WATER DEMAND,Month-of-year seasonal demand multiplier,DEMAND_FORECAST,Monthly billing records,AVAILABLE_OFFICIAL,Merged into F069/F070,DUPLICATE_OR_MERGED,Merged with temperature and climate autoregressive forecaster F069
F069,Maximum Daily Ambient Temperature,IMD Regional Meteorological Centre Mumbai,A,C. CLIMATE,Peak dry-bulb surface temperature recorded at Santacruz/Colaba observatories,DEMAND_FORECAST,Daily maximum degrees Celsius,AVAILABLE_OFFICIAL,"evaluation/demand_forecast.py, DEM_TEMP_MAX",IMPLEMENTED,Exogenous driver of +8% to +22% hydration demand surge
F070,IMD Coastal Heatwave Warning Classification,IMD Heat Action Plan Alerts / BMC Disaster Management Cell,A,C. CLIMATE,"Categorical alert (Yellow, Orange, Red) based on departure >= 4.5C",DEMAND_FORECAST,IMD operational warning bulletins,AVAILABLE_OFFICIAL,"evaluation/demand_forecast.py, DEM_HEATWAVE_IDX",IMPLEMENTED,Emergency relief deployment trigger
F071,Relative Air Humidity Percentage,IMD Mumbai Weather Bulletins,A,C. CLIMATE,Atmospheric relative humidity % affecting physiological heat index,DEMAND_FORECAST,Hygrometer reading (%),AVAILABLE_OFFICIAL,docs/factor_catalog.md,DOCUMENTED_ONLY,Captured in documentation; temperature dominates statistical regression
F072,Urban Heat Island Local Slum Microclimate Delta,IIT Bombay Urban Climate Research Group,B,C. CLIMATE / AF. URBANIZATION,Localized +1.5C to +3.5C temperature excess in dense metal-roof shanties,DEMAND_FORECAST,Thermal infrared satellite imagery (Landsat / ECOSTRESS),UNAVAILABLE_LOCAL,docs/final_limitations.md,UNAVAILABLE_DATA,Satellite thermal data not streamed in real-time
F073,Local Urban Cloudburst / Severe Downpour Event,BMC Automatic Weather Stations (AWS),A,B. RAINFALL,Precipitation exceeding 64.5 mm/hr flooding urban transit corridors,SCENARIO_CONTEXT,Hourly AWS rain gauge data,AVAILABLE_OFFICIAL,evaluation/stress_tests.py (Scenario 11),SCENARIO_ONLY,Simulates road access cutoff in stress testing
F074,Monsoonal Flash Waterlogging Inundation Spots,BMC Traffic Police / Disaster Cell Chronic Inundation Points,A,B. RAINFALL / Z. TRANSPORT,"List of chronic flood subways (King's Circle, Milan Subway, Hindmata)",ROUTING,Spatial polygon of flooded subways,AVAILABLE_OFFICIAL,docs/research_evidence.md,DOCUMENTED_ONLY,Routing graph obstacle constraints
F075,Solar Radiation Flux Insolation Rate,IMD Pune Radiation Network,B,C. CLIMATE,Global horizontal irradiance in W/m2,DEMAND_FORECAST,Pyranometer sensor,AVAILABLE_OFFICIAL,docs/factor_audit.md,REJECTED_WITH_REASON,REJECTED: High multicollinearity with Max Temperature F069 (Pearson r > 0.92) / No independent predictive gain
F076,Atmospheric Surface Wind Speed Velocity,IMD Coastal Stations,A,C. CLIMATE,Surface wind speed in knots/kmh,DEMAND_FORECAST,Anemometer readings,AVAILABLE_OFFICIAL,docs/factor_audit.md,REJECTED_WITH_REASON,REJECTED: Negligible operational correlation with urban indoor water consumption
F077,Spatially Corroborated Complaint Volume,MCGM 1916 Grievance Helpline / MyBMC App / WhatsApp Bot,A,V. COMPLAINTS,Count of independent complaints within 500m radius and 4h window,COMPLAINT_INTELLIGENCE,Deduplicated grievance records,AVAILABLE_OFFICIAL,"complaint_engine/deduplication.py, CMP_CORROB_CNT",IMPLEMENTED,Crowdsourced confirmation of distribution pipe failures
F078,Pending Grievance Unresolved Duration / Age,BMC Citizen Charter SLA Tracking System,C,V. COMPLAINTS / U. HISTORICAL SERVICE,Hours elapsed since initial registered complaint in unresolved cluster,NEED/EQUITY,Complaint creation timestamp vs now,SIMULATED_BENCHMARK,"water_engine/equity_engine.py, CMP_AGE_HOURS",IMPLEMENTED,"Enforces SLA escalation (escalating priority at 24h, 48h, 72h)"
F079,Bot / Panic Duplicate Complaint Volume,MCGM IT Cell Spam Audit,A,V. COMPLAINTS,Duplicate submissions from same citizen/phone within 120 minutes,COMPLAINT_INTELLIGENCE,Citizen phone number and timestamp,AVAILABLE_OFFICIAL,complaint_engine/deduplication.py,IMPLEMENTED,Filtered deterministically to prevent demand artificial inflation
F080,Repeat Callers for Same Location Post-Resolution,MCGM 1916 Grievance Log,A,V. COMPLAINTS,New complaint lodged > 6 hours after supposed ticket closure,COMPLAINT_INTELLIGENCE,Grievance history per address,AVAILABLE_OFFICIAL,"complaint_engine/deduplication.py, repeat_callers_count",IMPLEMENTED,Signals chronic valve failure or false ticket resolution
