factor_id,factor_name,definition,decision_layer,unit,granularity,temporal_resolution,data_type,data_source,source_url,source_date,provenance_class,evidence_level,data_availability,missing_data_strategy,normalization_method,expected_direction,known_limitations,correlation_group,double_counting_risk,privacy_risk,fairness_risk,operational_relevance,model_usage,test_required
DEM_DAYS_NO_SUP,Days Elapsed Since Reliable Supply,Cumulative consecutive days during which piped water pressure failed to meet the 0.5 bar minimum threshold.,NEED_PRIORITY,Days,Locality / Tap Cluster,Daily,integer,MCGM SCADA Pressure Telemetry / Corroborated Citizen Outage Reports,https://portal.mcgm.gov.in,2024-01-15,SYNTHETIC_SEEDED,C,SIMULATED_BENCHMARK,default_zero,log_scale_cap_7,positive,Citizen reporting exhibits digital-divide reporting bias in illiterate areas.,service_deficit,High if combined directly with complaint volume without deduplication.,LOW,MEDIUM,Critical operational indicator of acute hydration stress and disease risk.,"NEED_PRIORITY, SCENARIO_ENGINE",test_days_since_supply_monotonicity
DEM_TEMP_MAX,Maximum Ambient Temperature,Peak daily dry-bulb temperature recorded at Santacruz / Colaba IMD weather observatories.,DEMAND_FORECAST,Degrees Celsius (°C),Observatory / Regional,Daily Peak,float,IMD Mumbai Regional Meteorological Centre,https://imdmumbai.gov.in,2024-05-18,REAL,A,AVAILABLE_OFFICIAL,regional_mean,min_max_20_45,positive,Urban heat island effect creates up to 3.5°C localized microclimate variances in dense slums.,meteorology_demand,High with Heatwave index.,NONE,NONE,Empirical driver of +8% to +22% seasonal hydration and cooling demand surges.,"DEMAND_FORECAST, SCENARIO_ENGINE",test_temperature_demand_correlation
DEM_HEATWAVE_IDX,IMD Heatwave Warning Classification,"Categorical indicator (Normal, Yellow, Orange, Red) based on departure from normal maximum temperature (>= 4.5°C departure).",DEMAND_FORECAST,Categorical [0-3],District,Daily Forecast,integer,IMD Heat Action Plan Alerts / BMC Disaster Management Cell,https://internal.imd.gov.in/section/nhac/dynamic/heat_warning.htm,2024-04-25,REAL,A,AVAILABLE_OFFICIAL,default_zero,ordinal_encoding,positive,Triggers municipal emergency protocol rather than gradual continuous demand adjustments.,meteorology_demand,High with Max Ambient Temperature.,NONE,NONE,"Mandates priority water tankers to public shelters, labor camps, and hospitals.","DEMAND_FORECAST, SCENARIO_ENGINE",test_heatwave_multiplier
DEM_CRIT_FACIL,Critical Facility Lifeline Water Requirement,"Non-negotiable daily volume required for government hospitals, dialysis centers, and fire services.",RESOURCE_OPTIMIZATION,Liters,Facility Point,Daily / Fixed Contract,float,MCGM Public Health Department & Directorate of Health Services Maharashtra,https://arogya.maharashtra.gov.in,2023-09-10,REAL,A,AVAILABLE_OFFICIAL,standard_facility_allowance,liters,positive,Patient influx during epidemics can increase clinical water demand by up to 50%.,institutional_critical,None (segregated tier-1 priority queue).,NONE,NONE,Strict priority tier: 100% fulfillment guarantee under all feasible operating conditions.,"RESOURCE_OPTIMIZATION, HARD_CONSTRAINT",test_critical_facility_absolute_priority
INF_PIPE_AGE,Underground Pipeline Age & Material Vulnerability,"Age in years and material class (Cast Iron, Mild Steel, Ductile Iron) of municipal secondary water mains.",COMPLAINT_RISK,Years,Pipe Segment / Zone,Static Asset Registry,float,MCGM Hydraulic Engineer GIS Asset Database,https://portal.mcgm.gov.in/irj/portal/anonymous/qlwatersupply,2021-12-31,REAL,B,AVAILABLE_OFFICIAL,ward_median_age,min_max_0_100,positive,"Corrosion rates vary heavily depending on saline groundwater intrusion in coastal wards (e.g., A, B, C).",infrastructure_age,Moderate with leakage/burst probability.,NONE,LOW,Predicts structural failure and contamination risk during suction backflow.,"COMPLAINT_RISK, SCENARIO_ENGINE",test_pipe_age_risk_monotonicity
INF_PRES_ZONE,Hydraulic Pressure Zone Tail-End Deficit,Indicator that a delivery cluster is situated at the hydraulic dead-end or high elevation of a distribution zone.,NEED_PRIORITY,Binary / Gradient [0.0 - 1.0],Sub-Ward DMU,Static Network Topology,float,MCGM Water Distribution Master Plan / Hydraulic Flow Models,https://smartcities.gov.in,2020-04-15,REAL_DERIVED,B,AVAILABLE_OFFICIAL,default_zero,binary_or_ratio,positive,Pressure fluctuations depend on upstream valve throttling schedules.,hydraulic_disadvantage,Moderate with days since last supply.,NONE,MEDIUM,Explains chronic supply failure despite normal citywide reservoir levels.,"NEED_PRIORITY, DEMAND_FORECAST",test_tail_end_deficit_need_elevation
INF_ROAD_DIST,Road Network Shortest Path Distance,True road-network transit distance from designated water tanker filling depot to destination delivery coordinates.,ROUTING,Kilometers (km),OD Pair,Dynamic / GIS Graph,float,OpenStreetMap (OSM) Mumbai Road Network / BMC Traffic Police,https://www.openstreetmap.org,2024-01-01,REAL,A,AVAILABLE_OFFICIAL,haversine_multiplied_1.4,min_max_0_25,positive,"Slum internal alleys are unnavigable for 10,000L heavy tankers (requires 3,000L mini-tankers).",logistics_transit,STRICT: Must NOT enter Human Need/Equity Priority formula.,NONE,CRITICAL_MUST_SEPARATE,"Determines transit fuel consumption, fleet cycle turnaround, and ETA.","ROUTING, RESPONSE_TIME",test_distance_decoupled_from_need
INF_DEPOT_QUEUE,Depot Gantry Loading Queue Delay,"Estimated queuing and gantry filling delay at municipal filling depots (e.g., Mahim, Worli, Ghatkopar).",RESPONSE_TIME,Minutes,Depot,Hourly,float,BMC Depot Operations Log / WaterFlow Logistics Engine,https://portal.mcgm.gov.in,2024-03-01,SYNTHETIC_SEEDED,C,SIMULATED_BENCHMARK,default_15_minutes,standard_scaling,positive,Queue spikes occur during 06:00-09:00 morning dispatch rush.,logistics_transit,Low.,NONE,NONE,Prevents dispatching all tankers to a single bottlenecked depot.,"RESPONSE_TIME, ROUTING",test_depot_queue_delay_addition
CMP_CORROB_CNT,Spatially Corroborated Complaint Volume,"Number of independent citizen complaints within a 500m radius and 4-hour window, filtered for spam and automated bot repeats.",COMPLAINT_RISK,Complaints,Cluster (500m radius),Rolling 4-Hour,integer,MCGM 1916 Grievance Helpline / MyBMC App / WhatsApp Chatbot,https://portal.mcgm.gov.in/irj/portal/anonymous/qlcomplaints,2024-06-10,REAL,A,AVAILABLE_OFFICIAL,default_zero,log1p_scale_cap_20,positive,Affluent wards have higher smartphone penetration and lodging rates than informal settlements.,citizen_signals,High if duplicate complaints inflate volumetric demand.,MEDIUM,HIGH,Validates unmonitored localized pipe burst or valve closure incidents.,"COMPLAINT_RISK, NEED_PRIORITY",test_duplicate_complaint_deduplication
CMP_AGE_HOURS,Pending Complaint Unresolved Duration,Hours elapsed since the initial registered complaint in an active cluster without municipal response or resolution.,NEED_PRIORITY,Hours,Incident,Continuous,float,BMC Citizen Charter SLA Tracking System,https://portal.mcgm.gov.in,2024-02-01,SYNTHETIC_SEEDED,C,SIMULATED_BENCHMARK,default_zero,min_max_0_72,positive,Citizen complaints occasionally remain open after private tankers or groundwater was secured.,sla_compliance,Moderate with days without supply.,LOW,MEDIUM,"Enforces municipal Citizen Charter SLA escalation (escalates at 24h, 48h, 72h).","NEED_PRIORITY, SCENARIO_ENGINE",test_complaint_age_priority_escalation
CMP_CONTAM_FLAG,Suspected Water Contamination Signal,"Presence of citizen reports citing foul odor, turbidity, or sewage cross-contamination, corroborated by primary health post diarrhea clusters.",NEED_PRIORITY,Binary Flag [0 or 1],Incident / Cluster,Event,integer,MCGM Epidemic Cell / Water Testing Laboratory Dadar,https://portal.mcgm.gov.in/irj/portal/anonymous/qlpublichealth,2024-05-30,REAL,A,AVAILABLE_OFFICIAL,default_zero,binary,positive,Laboratory bacteriological culture takes 24-48 hours; initial action relies on chlorine test kits and symptoms.,water_safety,None (overrides routine rationing).,MEDIUM,LOW,Immediately blocks unsafe pipe source and routes emergency clean drinking water tankers.,"NEED_PRIORITY, RESOURCE_OPTIMIZATION, HARD_CONSTRAINT",test_contamination_source_lockout
SOC_FETCH_DIST,Distance to Public Standpost / Water Source,Average physical walking distance from informal households to nearest functional municipal public standpost or community tap.,EQUITY_AUDIT,Meters (m),Settlement,Static Survey,float,TISS (Tata Institute of Social Sciences) Mumbai Water Access Survey,https://tiss.edu/view/6/mumbai-campus/school-of-habitat-studies/research-projects/,2019-11-15,REAL,B,AVAILABLE_OFFICIAL,ward_slum_median,min_max_0_1000,positive,Does not measure queuing time at standpost (which often exceeds 90 minutes).,access_burden,Moderate with informal settlement ratio.,NONE,HIGH,Monitors physical water-fetching hardship disproportionately borne by women and girls.,"EQUITY_AUDIT, CONTEXT_ONLY",test_equity_metric_correlation
SOC_HIST_INTRADIST,Historical Service Inequity Disparity Ratio,Ratio of affluent residential per-capita supply (typically > 200 LPCD) to slum per-capita supply (< 50 LPCD) in the ward.,EQUITY_AUDIT,Ratio,Ward,Annual Audit,float,YUVA (Youth for Unity and Voluntary Action) Water Rights Audit / MCGM Human Development Report,https://yuvaindia.org/publications,2021-06-30,REAL_DERIVED,B,AVAILABLE_OFFICIAL,citywide_ratio_4.0,ratio_scaling,positive,Precise slum consumption is difficult to quantify due to unmetered shared taps.,structural_inequity,High with slum population share.,NONE,CRITICAL_LEGAL_MANDATE,Audits compliance with equitable distribution principles under Constitution Article 21.,"EQUITY_AUDIT, FAIRNESS_METRIC",test_gini_and_fulfillment_disparity
GOV_WQL_TDS,Total Dissolved Solids (TDS) Potability Benchmark,TDS concentration of candidate water source: Acceptable limit < 500 mg/L; Permissible limit in absence of alternate source 2000 mg/L.,RESOURCE_OPTIMIZATION,mg/L,Source / Borewell / Recycled Output,Batch / Daily,float,Bureau of Indian Standards (BIS) IS 10500:2012 Drinking Water Specification,https://bis.gov.in/wp-content/uploads/2020/05/IS-10500-2012.pdf,2012-05-01,REAL,A,AVAILABLE_OFFICIAL,assume_safe_if_potable_plant,threshold_clamp,negative,TDS alone does not measure pathogen contamination (requires residual free chlorine test).,water_safety,None (hard potability filter).,NONE,NONE,"Directs water to potable drinking vs non-potable tertiary reuse (toilet flushing, construction).","RESOURCE_OPTIMIZATION, HARD_CONSTRAINT",test_is10500_potability_filter
GOV_CHLOR_RESID,Free Residual Chlorine at Tap Delivery,Active residual chlorine level: Minimum 0.2 mg/L at consumer end; 0.5 mg/L during epidemic or monsoon flood alerts.,RESOURCE_OPTIMIZATION,mg/L,Delivery Point,Daily Batch,float,BIS IS 10500:2012 / CPHEEO Water Supply Manual,https://cpheeo.gov.in,2012-05-01,REAL,A,AVAILABLE_OFFICIAL,default_standard_0.2,threshold_clamp,positive,Excessive chlorination (> 1.0 mg/L) causes citizen taste complaints and rejection.,water_safety,None.,NONE,NONE,Safety certification for tanker deliveries before opening valves to public storage tanks.,"RESOURCE_OPTIMIZATION, HARD_CONSTRAINT",test_residual_chlorine_pass_condition
